sku,dates,price,qty
10060,01/10/19,2788.0,2
10060,02/10/19,2788.0,3
10060,03/10/19,2788.0,3
10060,04/10/19,2788.0,1
10060,05/10/19,2788.0,4
10060,06/10/19,2788.0,3
10060,07/10/19,2754.0,2
10060,08/10/19,2754.0,4
10060,09/10/19,2754.0,4
10060,10/10/19,2754.0,4
10060,11/10/19,2754.0,3
10060,12/10/19,2754.0,3
10060,13/10/19,2754.0,3
10060,14/10/19,2801.0,3
10060,15/10/19,2801.0,3
10060,16/10/19,2801.0,3
10060,17/10/19,2801.0,3
10060,18/10/19,2801.0,2
10060,19/10/19,2801.0,3
10060,20/10/19,2801.0,3
10060,21/10/19,2811.0,4
10060,22/10/19,2811.0,3
10060,23/10/19,2811.0,3
10060,24/10/19,2811.0,3
10060,25/10/19,2811.0,3
10060,26/10/19,2811.0,3
10060,27/10/19,2811.0,3
10060,28/10/19,2801.0,3
10060,29/10/19,2801.0,3
10060,30/10/19,2801.0,2
10060,31/10/19,2801.0,3
10060,01/11/19,2801.0,3
10060,02/11/19,2801.0,3
10060,03/11/19,2801.0,3
10060,04/11/19,2776.0,2
10060,05/11/19,2776.0,3
10060,06/11/19,2776.0,4
10060,07/11/19,2776.0,4
10060,08/11/19,2776.0,4
10060,09/11/19,2776.0,3
10060,10/11/19,2776.0,3
10060,11/11/19,2808.0,3
10060,12/11/19,2808.0,5
10060,13/11/19,2808.0,3
10060,14/11/19,2808.0,2
10060,15/11/19,2808.0,3
10060,16/11/19,2808.0,3
10060,17/11/19,2808.0,3
10060,18/11/19,2812.0,3
10060,19/11/19,2812.0,2
10060,20/11/19,2812.0,4
10060,21/11/19,2812.0,3
10060,22/11/19,2812.0,3
10060,23/11/19,2812.0,3
10060,24/11/19,2812.0,3
10060,25/11/19,2822.0,4
10060,26/11/19,2822.0,3
10060,27/11/19,2822.0,2
10060,28/11/19,2822.0,4
10060,29/11/19,2822.0,5
10060,30/11/19,2822.0,4
10121,11/10/19,2913.0,3
10121,12/10/19,2913.0,5
10121,13/10/19,2913.0,5
10121,14/10/19,2951.0,5
10121,15/10/19,2951.0,7
10121,16/10/19,2951.0,4
10121,17/10/19,2951.0,5
10121,18/10/19,2951.0,6
10121,19/10/19,2951.0,5
10121,20/10/19,2951.0,5
10121,21/10/19,2939.0,7
10121,22/10/19,2939.0,6
10121,23/10/19,2939.0,6
10121,24/10/19,2939.0,3
10121,25/10/19,2939.0,5
10121,26/10/19,2939.0,5
10121,27/10/19,2939.0,6
10121,28/10/19,2948.0,6
10121,29/10/19,2948.0,5
10121,30/10/19,2948.0,5
10121,31/10/19,2948.0,6
10121,01/11/19,2948.0,6
10121,02/11/19,2948.0,7
10121,03/11/19,2948.0,5
10121,04/11/19,2924.0,5
10121,05/11/19,2924.0,6
10121,06/11/19,2924.0,5
10121,07/11/19,2924.0,3
10121,08/11/19,2924.0,5
10121,09/11/19,2924.0,5
10121,10/11/19,2924.0,5
10121,11/11/19,2916.0,4
10121,12/11/19,2916.0,5
10121,13/11/19,2916.0,6
10121,14/11/19,2916.0,5
10121,15/11/19,2916.0,4
10121,16/11/19,2916.0,6
10121,17/11/19,2916.0,6
10121,18/11/19,2933.0,5
10121,19/11/19,2933.0,5
10121,20/11/19,2933.0,5
10121,21/11/19,2933.0,3
10121,22/11/19,2933.0,6
10121,23/11/19,2933.0,6
10121,24/11/19,2933.0,3
10121,25/11/19,2854.0,5
10121,26/11/19,2854.0,6
10121,27/11/19,2854.0,5
10121,28/11/19,2854.0,5
10121,29/11/19,2854.0,6
10121,30/11/19,2854.0,5
10216,16/06/19,3694.0,2
10216,17/06/19,3698.0,1
10216,19/06/19,3698.0,1
10216,20/06/19,3698.0,1
10216,21/06/19,3698.0,1
10216,23/06/19,3698.0,1
10216,24/06/19,3749.0,1
10216,25/06/19,3749.0,1
10216,26/06/19,3749.0,1
10216,27/06/19,3749.0,1
10216,28/06/19,3749.0,1
10216,29/06/19,3749.0,1
10216,30/06/19,3749.0,2
10216,01/07/19,3706.0,1
10216,02/07/19,3706.0,2
10216,03/07/19,3706.0,1
10216,04/07/19,3706.0,1
10216,05/07/19,3706.0,1
